bırakmıyorlar	bırak+Verb+Neg+Prog1+A3pl
sürdüremeyeceğini	sür+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
beklenmiyor	bekle+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
gitmemektedir	git+Verb+Neg+Prog2+A3sg+Cop
koruyamazsa	koru+Verb^DB+Verb+Able+Neg+Aor+Cond+A3sg
koşamıyor	koş+Verb^DB+Verb+Able+Neg+Prog1+A3sg
üretemiyor	üre+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+A3sg
sayılamayacağını	say+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
görülmemesi	gör+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
sindiremediğini	sin+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
bulunulamayacağını	bul+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
girmemesini	gir+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Acc
bulunamazsınız	bul+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A2pl
ümitlenmesin	ümit+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Neg+Imp+A3sg
girmedik	gir+Verb+Neg+Past+A1pl
değiştirmedik	değiş+Verb^DB+Verb+Caus+Neg+Past+A1pl
düşünmediğini	düşün+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
zannetmiyorum	zannet+Verb+Neg+Prog1+A1sg
giyilmemiş	giy+Verb^DB+Verb+Pass+Neg+Narr+A3sg
bulamadığınız	bul+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P2pl
bulamıyorsanız	bula+Verb+Neg+Prog1+Cond+A2pl
tutamaz	tut+Verb^DB+Verb+Able+Neg+Aor+A3sg
duymamıştım	duy+Verb+Neg+Narr+Past+A1sg
getiremeyen	getir+Verb^DB+Verb+Able+Neg^DB+Adj+PresPart
kıpırdayamaz	kıpırda+Verb^DB+Verb+Able+Neg+Aor+A3sg
karşılayamaması	karşıla+Verb^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
sağlayamayacaklarını	sağla+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3pl+P3pl+Acc
satılmaması	sat+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
tanınmaz	tanı+Verb^DB+Verb+Pass+Neg+Aor+A3sg
kaybetmemeli	kaybet+Verb+Neg+Neces+A3sg
ayırmamalısınız	ayır+Verb+Neg+Neces+A2pl
ayarlamayın	ayarla+Verb+Neg+Imp+A2pl
ayrılmayın	ayır+Verb^DB+Verb+Pass+Neg+Imp+A2pl
değiştirmedi	değiş+Verb^DB+Verb+Caus+Neg+Past+A3sg
saymıyorum	say+Verb+Neg+Prog1+A1sg
güdemiyorlar	güt+Verb^DB+Verb+Able+Neg+Prog1+A3pl
döşeyemediler	döşe+Verb^DB+Verb+Able+Neg+Past+A3pl
atılamadı	at+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Past+A3sg
hazırlanmamıştır	hazırla+Verb^DB+Verb+Pass+Neg+Narr+A3sg+Cop
dağıtılmamıştır	dağıt+Verb^DB+Verb+Pass+Neg+Narr+A3sg+Cop
dağıtılmamış	dağıt+Verb^DB+Verb+Pass+Neg+Narr+A3sg
kullanılmamıştır	kullan+Verb^DB+Verb+Pass+Neg+Narr+A3sg+Cop
bilgilendirilmediği	bilgi+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Neg^DB+Adj+PastPart+P3sg
davranamıyor	davran+Verb^DB+Verb+Able+Neg+Prog1+A3sg
yatamıyor	yat+Verb^DB+Verb+Able+Neg+Prog1+A3sg
uyuyamıyor	uyu+Verb^DB+Verb+Able+Neg+Prog1+A3sg
paylaşamaz	paylaş+Verb^DB+Verb+Able+Neg+Aor+A3sg
dokunmayın	dokun+Verb+Neg+Imp+A2pl
yeşeremeyeceğini	yeşer+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
dökmemiş	dök+Verb+Neg+Narr+A3sg
vermemektedir	ver+Verb+Neg+Prog2+A3sg+Cop
beklemediklerini	bekle+Verb+Neg^DB+Noun+PastPart+A3pl+P3pl+Acc
çözülemiyor	çöz+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
sağlanamaması	sağla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
alamamasına	al+Verb^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3sg+Dat
ödenmemeye	öde+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf2+A3sg+Pnon+Dat
almayacağımız	al+Verb+Neg^DB+Adj+FutPart+P1pl
artmamış	art+Verb+Neg+Narr+A3sg
satamaz	sat+Verb^DB+Verb+Able+Neg+Aor+A3sg
başlamadı	başla+Verb+Neg+Past+A3sg
patlamıyor	patla+Verb+Neg+Prog1+A3sg
çıkamıyor	çık+Verb^DB+Verb+Able+Neg+Prog1+A3sg
alamadığı	al+Verb^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
davranmayan	davran+Verb+Neg^DB+Adj+PresPart
artmamasını	art+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Acc
sağlayamıyorsa	sağla+Verb^DB+Verb+Able+Neg+Prog1+Cond+A3sg
yürüyemediği	yürü+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
katılmıyoruz	kat+Verb^DB+Verb+Pass+Neg+Prog1+A1pl
girmiyoruz	gir+Verb+Neg+Prog1+A1pl
açıklanmayan	açıkla+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
sevmemek	sev+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
aşmayacağı	aş+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom
gerçekleştirilmeyeceği	gerçek+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom
alınamadığı	al+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
söylenmedi	söyle+Verb^DB+Verb+Pass+Neg+Past+A3sg
yükselmediği	yüksel+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
etkilemeyecek	etkile+Verb+Neg+Fut+A3sg
gelmediğine	gel+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Dat
yükselmesin	yüksel+Verb+Neg+Imp+A3sg
girişmemiştir	giriş+Verb+Neg+Narr+A3sg+Cop
yükseltmemesi	yüksel+Verb^DB+Verb+Caus+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
düşünülemez	düşün+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
süremeyeceği	sür+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom
artırmayacak	art+Verb^DB+Verb+Caus+Neg+Fut+A3sg
yatırmayacaklarını	yat+Verb^DB+Verb+Caus+Neg^DB+Noun+FutPart+A3pl+P3pl+Acc
yaratmaz	yarat+Verb+Neg+Aor+A3sg
sanmıyoruz	san+Verb+Neg+Prog1+A1pl
yaramasa	yara+Verb+Neg+Desr+A3sg
almazdı	al+Verb+Neg+Aor+Past+A3sg
olmamamız	ol+Verb+Neg^DB+Noun+Inf2+A3sg+P1pl+Nom
önlenememiştir	önle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Narr+A3sg+Cop
temizlenmemişti	temizle+Verb^DB+Verb+Pass+Neg+Narr+Past+A3sg
sınırlandırılamaz	sınır+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
uymamasından	uy+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Abl
uygulamıyoruz	uygula+Verb+Neg+Prog1+A1pl
uygulanmadığı	uygula+Verb^DB+Verb+Pass+Neg^DB+Adj+PastPart+P3sg
ilerleyemediğinde	ilerle+Verb^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P3sg+Loc
başaramadığımızda	başar+Verb^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P1pl+Loc
indirilemeyecek	in+Verb^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
inanmayacaktın	inan+Verb+Neg+Fut+Past+A2sg
görmeseniz	gör+Verb+Neg+Desr+A2pl
güvenemezler	güven+Verb^DB+Verb+Able+Neg+Aor+A3pl
yükselmemesi	yüksel+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
bozulmamasına	boz+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf2+A3sg+P3sg+Dat
çıkmayın	çık+Verb+Neg+Imp+A2pl
homurdanarak	homurda+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
uyarmıştı	uyar+Verb+Pos+Narr+Past+A3sg
süzmüştü	süz+Verb+Pos+Narr+Past+A3sg
yediği	ye+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
işittiği	işit+Verb+Pos^DB+Adj+PastPart+P3sg
paylamadan	payla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
okşamalarına	okşa+Verb+Pos^DB+Noun+Inf2+A3sg+P3pl+Dat
okşarlarken	okşa+Verb+Pos+Aor+A3pl^DB+Adverb+While
azarlamasına	azarla+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
bakılırsa	bak+Verb^DB+Verb+Pass+Pos+Aor+Cond+A3sg
katlanabilmek	katla+Verb^DB+Verb+Pass+Pos^DB+Verb+Able^DB+Noun+Inf1+A3sg+Pnon+Nom
zorluyordu	zorla+Verb+Pos+Prog1+Past+A3sg
yapmacıklıktan	yap+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Noun+Dim+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Abl
kalkıp	kalk+Verb+Pos^DB+Adverb+AfterDoingSo
ısınmaya	ısın+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
gelmelerini	gel+Verb+Pos^DB+Noun+Inf2+A3pl+P3pl+Acc
beklerdi	bekle+Verb+Pos+Aor+Past+A3sg
belirmeye	belir+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
bulduklarında	bul+Verb+Pos^DB+Noun+PastPart+A3sg+P3pl+Loc
gidiyorlardı	git+Verb+Pos+Prog1+A3pl+Past
bürünüyordu	bürü+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
gelişmeler	geliş+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
gösteriyordu	göster+Verb+Pos+Prog1+Past+A3sg
uzanıp	uza+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
yatmaktan	yat+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Abl
hoşlanıyordu	hoşlan+Verb+Pos+Prog1+Past+A3sg
diledikleri	dile+Verb+Pos^DB+Adj+PastPart+P3pl
okşayıp	okşa+Verb+Pos^DB+Adverb+AfterDoingSo
sevmelerine	sev+Verb+Pos^DB+Noun+Inf2+A3sg+P3pl+Dat
uğraşırsa	uğraş+Verb+Pos+Aor+Cond+A3sg
uğraşsınlar	uğraş+Verb+Pos+Imp+A3pl
okşarken	okşa+Verb+Pos+Aor^DB+Adverb+While
uğraşsalar	uğraş+Verb+Pos+Desr+A3pl
sokmaya	sok+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
davranışı	davran+Verb+Pos^DB+Noun+Inf3+A3sg+P3sg+Nom
esirgiyor	esirge+Verb+Pos+Prog1+A3sg
sokuluyordu	sok+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
yaşayan	yaşa+Verb+Pos^DB+Adj+PresPart
öğrendi	öğren+Verb+Pos+Past+A3sg
geçtikçe	geç+Verb+Pos^DB+Adverb+AsLongAs
korkuyor	kork+Verb+Pos+Prog1+A3sg
yıkıyorlardı	yıka+Verb+Pos+Prog1+A3pl+Past
bulduğuna	bul+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Dat
uzanan	uza+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
kaplıyordu	kapla+Verb+Pos+Prog1+Past+A3sg
sayılan	say+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
bulunuyordu	bulun+Verb+Pos+Prog1+Past+A3sg
örülmüş	ör+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yürütülüyordu	yürü+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+Past+A3sg
öğreniyordu	öğren+Verb+Pos+Prog1+Past+A3sg
öğreninceye	öğren+Verb+Pos^DB+Adverb+When^DB+Noun+Zero+A3sg+Pnon+Dat
yerleştirdiği	yerleş+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
verdiğini	ver+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
ederse	et+Verb+Pos+Aor+Cond+A3sg
uyarılırsa	uyar+Verb^DB+Verb+Pass+Pos+Aor+Cond+A3sg
çiğnemiş	çiğne+Verb+Pos+Narr+A3sg
anlıyor	anla+Verb+Pos+Prog1+A3sg
uyması	uy+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
öğreniyor	öğren+Verb+Pos+Prog1+A3sg
azarlayan	azarla+Verb+Pos^DB+Adj+PresPart
incitici	incit+Verb+Pos^DB+Adj+Agt
dövdüklerinde	döv+Verb+Pos^DB+Noun+PastPart+A3sg+P3pl+Loc
acıtabiliyorlardı	acı+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Prog1+A3pl+Past
perçinleniyordu	perçinle+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
yaralıyordu	yarala+Verb+Pos+Prog1+Past+A3sg
anlamış	anla+Verb+Pos+Narr+A3sg
kırılan	kır+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
eğitmek	eğit+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
yaptığını	yap+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
düzenliyordu	düzenle+Verb+Pos+Prog1+Past+A3sg
bilinen	bil+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
yaşarlardı	yaşa+Verb+Pos+Aor+A3pl+Past
oluyorlardı	ol+Verb+Pos+Prog1+A3pl+Past
avlayıp	avla+Verb+Pos^DB+Adverb+AfterDoingSo
olabileceğini	ol+Verb+Pos^DB+Verb+Able^DB+Noun+FutPart+A3sg+P3sg+Acc
öğrenecekti	öğren+Verb+Pos+Fut+Past+A3sg
uyanmış	uyan+Verb+Pos+Narr+A3sg
geziniyordu	gezin+Verb+Pos+Prog1+Past+A3sg
dönmüştü	dön+Verb+Pos+Narr+Past+A3sg
kaçmış	kaç+Verb+Pos+Narr+A3sg
geliverdi	gel+Verb+Pos^DB+Verb+Hastily+Past+A3sg
uyanmıştı	uyan+Verb+Pos+Narr+Past+A3sg
vuruşundan	vur+Verb+Pos^DB+Noun+Inf3+A3sg+P3sg+Abl
yakalayıverdi	yakala+Verb+Pos^DB+Verb+Hastily+Past+A3sg
bulduğu	bul+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
keyiflenen	keyif+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Adj+PresPart
yalanıp	yala+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
atladı	atla+Verb+Pos+Past+A3sg
durdurabilirdi	dur+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Aor+Past+A3sg
çıkarmadan	çık+Verb^DB+Verb+Caus+Pos^DB+Adverb+WithoutHavingDoneSo
koparan	kop+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
fırlattı	fırla+Verb^DB+Verb+Caus+Pos+Past+A3sg
yarılan	yar+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
çalıştı	çalış+Verb+Pos+Past+A3sg
kopmuştu	kop+Verb+Pos+Narr+Past+A3sg
korkutan	kork+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
yırtıcılığı	yırt+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3sg+Nom
çabalarken	çabala+Verb+Pos+Aor^DB+Adverb+While
atmaya	at+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
uğraşıyordu	uğraş+Verb+Pos+Prog1+Past+A3sg
yetişip	yetiş+Verb+Pos^DB+Adverb+AfterDoingSo
tamamlanacaktı	tamamla+Verb^DB+Verb+Pass+Pos+Fut+Past+A3sg
kurtardıysa	kurtar+Verb+Pos+Past+Cond+A3sg
kurdu	kur+Verb+Pos+Past+A3sg
almakla	al+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Ins
etmişlerdi	et+Verb+Pos+Narr+A3pl+Past
uyarmak	uyar+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
istemişti	iste+Verb+Pos+Narr+Past+A3sg
davranışıyla	davran+Verb+Pos^DB+Noun+Inf3+A3sg+P3sg+Ins
çıkarmıştı	çık+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
cezalandırmadan	ceza+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
hırslanıyordu	hırs+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Prog1+Past+A3sg
yağladı	yağla+Verb+Pos+Past+A3sg
yakalayana	yakala+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Dat
geçmeden	geç+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
gözetlemiş	gözetle+Verb+Pos+Narr+A3sg
çekilmiş	çek+Verb^DB+Verb+Pass+Pos+Narr+A3sg
tünemeye	tüne+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
başlamışlardı	başla+Verb+Pos+Narr+A3pl+Past
tırmandı	tırman+Verb+Pos+Past+A3sg
uçtu	uç+Verb+Pos+Past+A3sg
dizdiği	diz+Verb+Pos^DB+Adj+PastPart+P3sg
yatıyordu	yat+Verb+Pos+Prog1+Past+A3sg
gördükleri	gör+Verb+Pos^DB+Noun+PastPart+A3pl+P3sg+Nom
çarptı	çarp+Verb+Pos+Past+A3sg
giren	gir+Verb+Pos^DB+Adj+PresPart
utanma	utan+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
övünülecek	övün+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
becermiş	becer+Verb+Pos+Narr+A3sg
kurumlanıyordu	kurum+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Prog1+Past+A3sg
ısırdı	ısır+Verb+Pos+Past+A3sg
yapması	yap+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
gerekeni	gerek+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Acc
yapmaya	yap+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
vermişti	ver+Verb+Pos+Narr+Past+A3sg
azarladı	azarla+Verb+Pos+Past+A3sg
öfkelendiğini	öfke+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
anlayabiliyordu	anla+Verb+Pos^DB+Verb+Able+Prog1+Past+A3sg
sürterken	sürt+Verb+Pos+Aor^DB+Adverb+While
pataklıyordu	patakla+Verb+Pos+Prog1+Past+A3sg
dalmaya	dal+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
tatması	tat+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
yaratılmıştı	yara+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+Past+A3sg
görüp	gör+Verb+Pos^DB+Adverb+AfterDoingSo
tanıyabildiği	tanı+Verb+Pos^DB+Verb+Able^DB+Adj+PastPart+P3sg
bulunabilir	bulun+Verb+Pos^DB+Verb+Able+Aor+A3sg
sormaktan	sor+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Abl
kalmasını	kal+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
dilerim	dil+Verb+Pos+Aor+A1sg
varolan	varol+Verb+Pos^DB+Adj+PresPart
geçirdiğimi	geç+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
kaçtığını	kaç+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
bıraktığını	bırak+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
düşünüyordum	düşün+Verb+Pos+Prog1+Past+A1sg
sorduğunuzu	sor+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Acc
gittiği	git+Verb+Pos^DB+Adj+PastPart+P3sg
taşınıyor	taşı+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
kaynaklanıyordu	kaynakla+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
kalacağım	kal+Verb+Pos+Fut+A1sg
ürkütüyordu	ürk+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
olmuştum	ol+Verb+Pos+Narr+Past+A1sg
taşıyarak	taşı+Verb+Pos^DB+Adverb+ByDoingSo
dolaşıyordum	dolaş+Verb+Pos+Prog1+Past+A1sg
dediğime	de+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Dat
tanıdık	tanı+Verb+Pos+Past+A1pl
tanırım	tanı+Verb+Pos+Aor+A1sg
eleyerek	ele+Verb+Pos^DB+Adverb+ByDoingSo
geçirmiş	geç+Verb^DB+Verb+Caus+Pos+Narr+A3sg
kazımışımdır	kazı+Verb+Pos+Narr+A1sg+Cop
baktığım	bak+Verb+Pos^DB+Adj+PastPart+P1sg
bakışta	bak+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Loc
okuyabilirim	oku+Verb+Pos^DB+Verb+Able+Aor+A1sg
olurum	ol+Verb+Pos+Aor+A1sg
rastladığım	rastla+Verb+Pos^DB+Adj+PastPart+P1sg
uyandıran	uyan+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
taşıyan	taşı+Verb+Pos^DB+Adj+PresPart
konuşuyormuş	konuş+Verb+Pos+Prog1+Narr+A3sg
taşıyor	taş+Verb+Pos+Prog1+A3sg
diyorsam	de+Verb+Pos+Prog1+Cond+A1sg
tanışma	tanış+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
oluştu	oluş+Verb+Pos+Past+A3sg
alışmış	alış+Verb+Pos+Narr+A3sg
olduğum	ol+Verb+Pos^DB+Adj+PastPart+P1sg
gitmekten	git+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Abl
alıkoyacak	alıkoy+Verb+Pos^DB+Adj+FutPart+Pnon
duyuyorum	duy+Verb+Pos+Prog1+A1sg
üzüleceğini	üz+Verb^DB+Verb+Pass+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
kaçacağını	kaç+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
düşünüyorum	düşün+Verb+Pos+Prog1+A1sg
götürdük	götür+Verb+Pos+Past+A1pl
vazgeçtik	vazgeç+Verb+Pos+Past+A1pl
hatırladık	hatırla+Verb+Pos+Past+A1pl
bakışmalarımızdı	bak+Verb^DB+Verb+Recip+Pos^DB+Noun+Inf2+A3pl+P1pl+Nom^DB+Verb+Zero+Past+A3sg
konuşurum	konuş+Verb+Pos+Aor+A1sg
anlatırlar	anla+Verb^DB+Verb+Caus+Pos+Aor+A3pl
çıkacaklar	çık+Verb+Pos+Fut+A3pl
geçireceğim	geç+Verb^DB+Verb+Caus+Pos+Fut+A1sg
oluyordum	ol+Verb+Pos+Prog1+Past+A1sg
korktum	kork+Verb+Pos+Past+A1sg
bilsen	bil+Verb+Pos+Desr+A2sg
fısıldarlardı	fısılda+Verb+Pos+Aor+A3pl+Past
gösterdiklerim	göster+Verb+Pos^DB+Noun+PastPart+A3pl+P1sg+Nom
edilecek	et+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
sormak	sor+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
onaracağım	onar+Verb+Pos+Fut+A1sg
kurduğumuz	kur+Verb+Pos^DB+Adj+PastPart+P1pl
yaşadıklarımızı	yaşa+Verb+Pos^DB+Noun+PastPart+A3pl+P1pl+Acc
böbürlenir	böbürlen+Verb+Pos+Aor+A3sg
küçümserdi	küçümse+Verb+Pos+Aor+Past+A3sg
kaldırdım	kal+Verb^DB+Verb+Caus+Pos+Past+A1sg
boyadılar	boya+Verb+Pos+Past+A3pl
çalmışlar	çal+Verb+Pos+Narr+A3pl
varıncaya	var+Verb+Pos^DB+Adverb+When^DB+Noun+Zero+A3sg+Pnon+Dat
boyamışlar	boya+Verb+Pos+Narr+A3pl
uğramaya	uğra+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
okuyucu	oku+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
tanıdığımı	tanı+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
anlamışsınızdır	anla+Verb+Pos+Narr+A2pl+Cop
bulunduğum	bulun+Verb+Pos^DB+Adj+PastPart+P1sg
araştırmakla	araştır+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Ins
geçirdiğim	geç+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P1sg
sorup	sor+Verb+Pos^DB+Adverb+AfterDoingSo
duruyordum	dur+Verb+Pos+Prog1+Past+A1sg
olmamın	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P1sg+Gen
buluncaya	bul+Verb+Pos^DB+Adverb+When^DB+Noun+Zero+A3sg+Pnon+Dat
gezinirken	gezin+Verb+Pos+Aor^DB+Adverb+While
ürettiği	üre+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
geçirdim	geç+Verb^DB+Verb+Caus+Pos+Past+A1sg
oynatılmış	oynat+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çıkartmaya	çık+Verb^DB+Verb+Caus^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
yeterdi	yet+Verb+Pos+Aor+Past+A3sg
kaybederdim	kaybet+Verb+Pos+Aor+Past+A1sg
gezdirdim	gez+Verb^DB+Verb+Caus+Pos+Past+A1sg
çağırıp	çağır+Verb+Pos^DB+Adverb+AfterDoingSo
azarladım	azarla+Verb+Pos+Past+A1sg
çekip	çek+Verb+Pos^DB+Adverb+AfterDoingSo
gitmekle	git+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Ins
anlayacağınız	anla+Verb+Pos^DB+Noun+FutPart+A3sg+P2pl+Nom
kalmaya	kal+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
ettiler	et+Verb+Pos+Past+A3pl
büyüyen	büyü+Verb+Pos^DB+Adj+PresPart
anlayabildim	anla+Verb+Pos^DB+Verb+Able+Past+A1sg
taşınmıştı	taşın+Verb+Pos+Narr+Past+A3sg
taşınmak	taşı+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
yapıyordu	yap+Verb+Pos+Prog1+Past+A3sg
kiralayan	kirala+Verb+Pos^DB+Adj+PresPart
bitirdikten	bit+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+Pnon+Abl
